ADDR,NCID,CID[0]
"FONTAINE ST&SHONE AV",2,11-060047
"FOODMAX  STORE#417",1,09-001957
"FOOTHILL",3,13-909364
"FOOTHILL AND COOLIDGE",1,10-028985
"FOOTHILL AV/MACARTHUR BLVD",1,07-013833
"FOOTHILL AVE",2,10-905279
"FOOTHILL BL AND HIGH ST",1,07-056995
"FOOTHILL BL&CHURCH ST",1,08-089815
"FOOTHILL BLVD & 106TH AV",4,11-013871
"FOOTHILL BLVD & 108TH AV",2,11-007241
"FOOTHILL BLVD & 11TH AV",3,10-008159
"FOOTHILL BLVD & 13TH AV",2,08-078779
"FOOTHILL BLVD & 15TH AV",5,07-081290
"FOOTHILL BLVD & 16TH AV",6,07-080470
"FOOTHILL BLVD & 18TH AV",2,10-014907
"FOOTHILL BLVD & 19TH AV",4,07-064864
"FOOTHILL BLVD & 22ND AV",4,13-902481
"FOOTHILL BLVD & 23RD AV",14,10-038505
"FOOTHILL BLVD & 24TH AV",1,08-074410
"FOOTHILL BLVD & 26TH AV",1,09-028715
"FOOTHILL BLVD & 27TH AV",20,10-001868
"FOOTHILL BLVD & 2ND AV",2,09-038359
"FOOTHILL BLVD & 33RD AV",4,10-002013
"FOOTHILL BLVD & 34TH AV",2,09-055613
"FOOTHILL BLVD & 35TH AV",19,07-083393
"FOOTHILL BLVD & 38TH AV",7,09-072367
"FOOTHILL BLVD & 39TH AV",3,09-018814
"FOOTHILL BLVD & 3RD AV",5,09-901695
"FOOTHILL BLVD & 41ST AV",8,09-015388
"FOOTHILL BLVD & 42ND AV",1,11-904042
"FOOTHILL BLVD & 45TH AV",6,07-041503
"FOOTHILL BLVD & 46TH AV",1,08-051628
"FOOTHILL BLVD & 47TH AV",9,08-009314
"FOOTHILL BLVD & 48TH AV",8,08-088790
"FOOTHILL BLVD & 4TH AV",2,09-021925
"FOOTHILL BLVD & 50TH AV",8,09-000723
"FOOTHILL BLVD & 55TH AV",9,09-082010
"FOOTHILL BLVD & 57TH AV",5,09-074578
"FOOTHILL BLVD & 5TH AV",5,11-904966
"FOOTHILL BLVD & 60TH AV",3,11-005799
"FOOTHILL BLVD & 61ST AV",6,08-033748
"FOOTHILL BLVD & 62ND AV",7,07-054408
"FOOTHILL BLVD & 63RD AV",1,09-071004
"FOOTHILL BLVD & 64TH AV",11,08-038589
"FOOTHILL BLVD & 64TH AVE",1,09-016938
"FOOTHILL BLVD & 67TH AV",5,11-053271
"FOOTHILL BLVD & 69TH AV",5,10-030518
"FOOTHILL BLVD & 6TH AV",3,07-040521
"FOOTHILL BLVD & 73RD AV",5,10-900147
"FOOTHILL BLVD & 7TH AV",5,09-018229
"FOOTHILL BLVD & 8TH AV",8,08-074035
"FOOTHILL BLVD & 9TH AV",2,10-904139
"FOOTHILL BLVD & AUSTIN ST",2,10-000380
"FOOTHILL BLVD & BANCROFT",1,13-032360
"FOOTHILL BLVD & COLE ST",7,10-049712
"FOOTHILL BLVD & CONGRESS AV",3,07-069797
"FOOTHILL BLVD & COOLIDGE AV",8,10-901622
"FOOTHILL BLVD & COURTLAND AV",3,11-026889
"FOOTHILL BLVD & DURANT AV",1,13-902795
"FOOTHILL BLVD & FAIRFAX AV",3,10-056297
"FOOTHILL BLVD & FRAIZER",1,09-074799
"FOOTHILL BLVD & FRUITVALE",1,14-007130
"FOOTHILL BLVD & FRUITVALE AV",17,12-037185
"FOOTHILL BLVD & HAVENSCOURT BLVD",2,13-063973
"FOOTHILL BLVD & HIGH ST",13,13-021097
"FOOTHILL BLVD & IRVING AV",1,11-043440
"FOOTHILL BLVD & LAKESHORE AV",1,14-013630
"FOOTHILL BLVD & MACARTHUR BLVD",20,08-076108
"FOOTHILL BLVD & MASON ST",3,12-003259
"FOOTHILL BLVD & MITCHELL ST",2,12-125336
"FOOTHILL BLVD & ROSEDALE AV",1,13-901341
"FOOTHILL BLVD & SEMINARY AV",5,13-025665
"FOOTHILL BLVD & SEMINARY AVE",1,10-046949
"FOOTHILL BLVD AND MILLER ST",1,09-058667
"FOOTHILL BLVD&FRAZIER AV",3,10-007064
"FOOTHILL BLVD&FREMONT WY",2,13-019285
"FOOTHILL BLVD&FRUITVALE AV",60,11-053323
"FOOTHILL BLVD&HARRINGTON AV",6,09-063650
"FOOTHILL BLVD&HAVENSCOURT BLVD",11,08-013502
"FOOTHILL BLVD&HIGH ST",59,07-015135
"FOOTHILL BLVD&LAKESHORE AV",2,09-060912
"FOOTHILL BLVD&LAVERNE AV",2,08-080711
"FOOTHILL BLVD&MACARTHUR BLVD",2,07-010956
"FOOTHILL BLVD&MASON ST",2,10-023374
"FOOTHILL BLVD&MILLER AV",3,12-036115
"FOOTHILL BLVD&MITCHELL ST",8,07-070563
"FOOTHILL BLVD&ROSEDALE AV",2,12-021221
"FOOTHILL BLVD&RUTHERFORD ST",7,07-026239
"FOOTHILL BLVD&SEMINARY AV",10,08-025710
"FOOTHILL BLVD&TALBOT AV",2,12-023937
"FOOTHILL BLVD&TRASK ST",4,08-025711
"FOOTHILL BLVD&VICKSBURG AV",7,08-020949
"FOOTHILL BLVD, OAKLAND, CA,",1,10-007842
"FOOTHILL BLVD. & BELVEDERE ST.",1,14-007576
"FOOTHILL BLVD. AND GARFIELD ST",1,11-040108
"FOOTHILL LBVD AND MACARTHUR",1,09-070834
"FOOTHILL MARKET",1,09-031264
"FOOTHILL PL & 14TH AV",1,11-004532
"FOOTHILL SQUARE",1,09-902007
"FOOTHILL SQUARE MALL",1,09-902881
"FOOTHILL& FRUITVALE",1,10-062658
"FOOTHILL&BANCROFT",1,12-902438
"FOOTHILL/ 40TH",1,12-018811
"FOOTHILL/FRUITVALE",1,07-027002
"FOOTHILL/HIGH ST",1,08-057631
"FORD ST & PETERSON ST",1,11-908992
"FORD ST&LANCASTER ST",1,12-065538
"FORD ST&PETERSON ST",3,11-018225
"FORD STREET",1,10-900101
"FOREST HILL AV",2,10-041221
"FOREST ST & AYALA AV",2,09-076485
"FOREST ST & BOYD AV",5,13-043258
"FOREST ST & CLAREMONT AV",7,07-085262
"FOREST ST & COLLEGE AV",3,09-031503
"FOREST ST&MILES AV",4,09-032457
"FORTUNE ST",1,10-904986
"FORTUNE WY",1,09-903130
"FORTUNE WY & SEMINARY AV",2,12-013179
"FORTUNE WY&SEMINARY AV",2,12-021815
"FOSOM STATE PRISON (OLD)",1,12-128411
"FOSTER CT & FOSTER AV",1,14-000244
"FOTHILL & FRUITVALE",1,14-000231
"FOUND PROPERTY",1,09-064428
"FRANCHISE TAX BOARD",1,12-909685
"FRANCISCO ST. & MASON ST.",1,11-032482
"FRANK H OGAWA PLZ",1,10-002292
"FRANK H OGAWA PLZ & CLAY ST",1,09-072419
"FRANK OGAWA PLAZA",5,12-032636
"FRANK OGOWA PLAZA",1,12-014072
"FRANKLIN",1,13-903079
"FRANKLIN & 24TH",1,12-900514
"FRANKLIN & GEARY",1,11-015476
"FRANKLIN ST & 11TH ST",5,08-003572
"FRANKLIN ST & 12TH ST",18,12-027606
"FRANKLIN ST & 13TH ST",8,10-069907
"FRANKLIN ST & 14TH ST",12,11-018409
"FRANKLIN ST & 15TH ST",12,11-902655
"FRANKLIN ST & 17TH ST",15,11-002734
"FRANKLIN ST & 19TH ST",19,08-015849
"FRANKLIN ST & 20TH ST",8,10-900972
"FRANKLIN ST & 21ST ST",7,13-900047
"FRANKLIN ST & 22ND ST",1,10-904394
"FRANKLIN ST & 2ND ST",6,07-074239
"FRANKLIN ST & 3RD ST",3,11-005806
"FRANKLIN ST & 6TH ST",5,12-905870
"FRANKLIN ST & 7TH ST",12,07-093922
"FRANKLIN ST & 8TH ST",15,07-070206
"FRANKLIN ST & BROADWAY",1,09-902689
"FRANKLIN&GOUGH",1,13-055781
"FRANKLIN&WEBSTER",1,08-084159
"FRAUITVALE AV&SCHOOL ST",1,09-057092
"FRAZIER AV&STANLEY AV",2,13-059334
"FREDERICK ST&KENNEDY ST",3,07-062315
"FREEWAY",1,11-910089
"FREEWAY 5",1,10-064658
"FREEWAY 580",1,11-043821
"FREEWAY 580 E/B",1,11-057876
"FREMONT BART STATION",1,09-900135
"FREMONT FEDERATION HIGH SCHOOL",1,10-902367
"FREMONT ST & 59TH ST",2,11-905395
"FREMONT ST & 61ST ST",2,12-903771
"FREMONT ST & POWELL ST",1,13-052534
"FREMONT WOMAN SHELTER, OAKLAND, CA,",1,09-048064
"FREMONT WY & FOOTHILL BLVD",1,09-066177
"FRESNO COUNTY JAIL",2,12-124923
"FRESNO ST & CHURCH ST",4,10-054374
"FRICK MIDDLE SCHOOL",1,07-036609
"FRISBIE ST & FAIRMOUNT AV",1,10-902662
"FRISBIE ST&HARRISON ST",2,07-046320
"FROG PARK, HARDY ST",1,10-902459
"FRONT OF ALTA BATES SUMMIT HOSPITAL ON WEBESTER ST  ADDRESS IS 530 HAWTHORN",1,10-900665
"FRONTAGE &  GRAND",1,10-035278
"FRONTAGE & COLISEUM WY",1,08-041598
"FRONTAGE / W GRAND AVE",1,10-055925
"FRONTAGE RD & 7TH ST",1,09-037353
"FRONTAGE RD & GRAND AV",1,12-040154
"FRONTAGE RD & W GRAND AV",2,12-012814
"FRONTAGE& TUNNEL",1,11-908296
"FRUITVAL BART",1,10-900692
"FRUITVALE",15,12-908635
"FRUITVALE & 25TH AV",1,08-003009
"FRUITVALE & AV&17TH ST",1,09-031496
"FRUITVALE & DAVIS (IN CUSTODY, 1203.2 (A), 166.4 P/C, SGT VIERRA)",1,08-082249
"FRUITVALE & E 12TH",1,09-058713
"FRUITVALE & E 16TH",1,10-017224
"FRUITVALE & E16TH ST.",1,10-045809
"FRUITVALE & FOREST",1,12-910311
"FRUITVALE & MACARTHUR",3,09-083091
"FRUITVALE & MONTANA",3,07-017314
"FRUITVALE AND 17TH ST",1,13-058427
"FRUITVALE AND FOOTHILL BLV",1,08-083198
"FRUITVALE AND UNIVERSITY AND SHATTUCK WELLSFARGO BANK",1,11-907417
"FRUITVALE ATM MACHINE, OAKLAND, CA,",1,10-055919
"FRUITVALE AV & ALAMEDA AV",2,08-077121
"FRUITVALE AV & BIENATI WY",3,13-900806
"FRUITVALE AV & BLOSSOM ST",3,13-049292
"FRUITVALE AV & BONA ST",2,07-087251
"FRUITVALE AV & BROOKDALE AV",3,11-022579
"FRUITVALE AV & COLOMA ST",3,10-001232
"FRUITVALE AV & DAVIS ST",5,08-087697
"FRUITVALE AV & E 15TH ST",3,13-000689
"FRUITVALE AV & E 16TH ST",4,10-903898
"FRUITVALE AV & E 17TH ST",2,10-066454
"FRUITVALE AV & E 18TH ST",1,12-066040
"FRUITVALE AV & E 19TH ST",3,10-904923
"FRUITVALE AV & E 22ND ST",3,11-042840
"FRUITVALE AV & E 23RD ST",5,10-016446
"FRUITVALE AV & E 27TH ST",9,13-045177
"FRUITVALE AV & E 29TH ST",3,11-037456
"FRUITVALE AV & E 8TH ST",4,10-905871
"FRUITVALE AV & EB I580",1,13-040979
"FRUITVALE AV & ELMWOOD AV",1,10-051427
"FRUITVALE AV & FARNAM ST",7,12-030363
"FRUITVALE AV & FOOTHILL BLVD",65,08-088186
"FRUITVALE AV & GALINDO ST",16,07-052029
"FRUITVALE AV & HAROLD ST",12,08-081754
"FRUITVALE AV & INTERNATIOANL BL",1,09-033959
"FRUITVALE AV & INTERNATIONAL BLVD",35,12-048463
"FRUITVALE AV & LOGAN ST",13,13-033367
"FRUITVALE AV & LYNDE ST",5,11-909514
"FRUITVALE AV & MACARTHUR BL",1,09-025299
"FRUITVALE AV & MACARTHUR BLVD",35,13-021005
"FRUITVALE AV & MONTANA AV",1,13-064258
"FRUITVALE AV & MONTANA ST",48,07-069067
"FRUITVALE AV & NB I880",1,11-904790
"FRUITVALE AV & NICOL AV",4,10-907222
"FRUITVALE AV & SAN LEANDRO ST",7,11-909895
"FRUITVALE AV & SCHOOL ST",14,10-050596
"FRUITVALE AV & TIFFIN RD",3,13-906040
"FRUITVALE AV & WB I580",2,12-003277
"FRUITVALE AV / FOOTHILL BLVD",1,09-060150
"FRUITVALE AV AND MACARTHUR BL",1,11-056481
"FRUITVALE AV OFFRAMP",1,11-906683
"FRUITVALE AV&EB I-580",1,10-033566
"FRUITVALE AV&EB I580",3,07-010771
"FRUITVALE AV&GALINDO ST",2,10-017078
"FRUITVALE AV&HAROLD ST",4,13-063347
"FRUITVALE AV&HICKORY ST",2,07-091788
"FRUITVALE AV&INTERNATIONAL BLV",59,11-011068
"FRUITVALE AV&LOGAN ST",1,12-016603
"FRUITVALE AV&LYMAN RD",3,13-004615
"FRUITVALE AV&MACARTHUR BLVD",34,08-013517
"FRUITVALE AV&MONTANA ST",2,10-003176
"FRUITVALE AV&SAN LEANDRO ST",9,09-009837
"FRUITVALE AV&SB I880",3,08-042237
"FRUITVALE AV&SCHOOL ST",2,12-000615
"FRUITVALE AV&WB I580",1,09-061528
"FRUITVALE AV/ FARNAM",1,08-063915
"FRUITVALE AVE & COLOMA ST",1,08-020779
"FRUITVALE AVE & E 12TH ST",1,13-050644
"FRUITVALE AVE & E12TH STREET",1,13-065632
"FRUITVALE AVE & FOOTHILL BLVD",3,11-062786
"FRUITVALE AVE & GALINDO ST",1,11-055547
"FRUITVALE AVE & HAROLD ST",2,09-033901
"FRUITVALE AVE & MONTANA ST",1,11-052018
"FRUITVALE AVE @ E-17TH STREET",1,12-007600
"FRUITVALE AVE @ FOOTHILL BLVD.",1,11-031174
"FRUITVALE AVE AND INTERNATIONAL BLVD",1,12-042225
"FRUITVALE AVE AND MACARTHUR AVE",1,10-057534
"FRUITVALE AVE&BROOKDALE AVE",1,08-016273
"FRUITVALE AVE.",1,10-030504
"FRUITVALE BART",2,10-900544
"FRUITVALE BART STATION",9,07-042516
"FRUITVALE BART STATION PARKING LOT",1,07-063750
"FRUITVALE BLVD AND MC ARTHUR",1,09-904225
"FRUITVALE DISTRIC",1,08-060549
"FRUITVALE FROM AN ATM",1,10-905146
"FRUITVALE NEAR LAS PALMAS RESTAURANT",1,07-088215
"FRUITVALE STATION",2,08-046604
"FRUITVALE VILLAGE PLAZA",1,08-042241
"FRUITVALE& E 27TH ST",1,07-033475
"FRUITVALE& LAKESIDE",1,10-053273
"FRUITVALE&MACARTHUR",1,11-907739
"FRUITVALE, OAKLAND, CA,",1,10-900953
"FRUITVALE/ FOOTHILL BLVD",1,09-063359
"FRUITVALE/ELMWOOD",1,12-053960
"FRUITVALE/FLAGG",1,09-901375
"FRUITVALE/NICOL",1,09-040579
"FRUITVALEAND FOOTHILL BLVD",1,11-037216
"FRUITVILLE",1,13-900213
"FRUITVILLE ST",1,13-900271
"FRUIVALE",1,09-055206
"FRY'S IN TULSA",1,10-905265
"FRYE ST",1,11-033885
"FUITVALE AVE & INTERNATIONAL BLVD",1,14-000010
"FULTON STREET/ARGUELLO",1,11-903073
"FUNSTON PL, OAKLAND, CA,",1,10-906526
"FURTVALE",1,12-911282
"FWY 13&BROADWAY TER",1,08-073350
"FWY 580 & GRAND AV",1,09-006750
"FWY 580 & SANTA CLARA AV",1,07-081817
"FWY 580 W/B AT HWY 13",1,14-011528
"FWY 880 & 98TH AV",1,07-003311
"FWY 880 & DAVIS",1,08-086390
"FWY I880 & HEGENBERGER",1,08-087904
"G ST",1,13-904778
"G ST & 84TH AV",1,11-003859
"G ST & 87TH AV",5,09-054300
"G ST & 88TH AV",2,07-053804
"G ST & 89TH AV",1,10-035655
"G ST & 91ST AV",1,10-033545
"GALINDO",1,11-015442
"GALINDO ST",1,14-900118
"GALINDO ST & 35TH AV",5,07-100003
"GALINDO ST & FRUITVALE AV",1,11-009860
"GALINDO ST&HARRINGTON AV",1,13-059037
"GANNON RD",1,13-905762
"GARCIA AVENUE AND INTERNATIONAL",1,12-903224
"GARDEN ST & E 27TH ST",1,08-051515
"GARDENIA PL & HILLMONT DR",1,13-021048
"GARDENIA PL&HILLMONT DR",1,11-012353
"GARFIELD AV & 73RD AV",8,10-011836
"GARFIELD AV & 74TH AV",2,07-070482
"GARFIELD AV & 75TH AV",3,10-065010
"GARFIELD AV & 76TH AV",2,10-002905
"GARFIELD AV & 77TH AV",3,09-022494
"GARFIELD AV & 79TH AV",4,10-057120
"GARFIELD AVE75TH AV",1,08-087794
"GARNET ST & BROADWAY",1,10-049161
"GARRY ADAMS WY & CASTRO ST.",1,09-049568
"GAS STATION/ TACO BELL",1,10-906811
"GAS STATIONS",1,11-903746
"GAS STATIONS IN THE OAKLAND/ BERKELEY AREA",1,10-904980
"GASKILL ST & 53RD ST",1,10-060002
"GASKILL ST & 54TH ST",3,08-072949
"GASKILL ST & 56TH ST",1,10-020991
"GASKILL ST&STANFORD AV",1,08-061410
"GASPAR DR & COLTON BLVD",1,10-904908
"GEARY BL",1,12-030158
"GENOA ST & 55TH ST",2,11-024323
"GENOA ST & 57TH ST",1,10-904413
"GENOA ST & 60TH ST",1,09-902953
"GENOA ST & ADELINE ST",2,08-033406
"GENOA ST & ARLINGTON AV",2,09-904019
"GENOA ST&STANFORD AV",1,13-050510
"GEORGIA ST & MAPLE AV",2,09-041945
"GEORGIA ST&LAUREL AV",1,12-000584
"GHORMLEY AV&ST ELMO DR",1,09-007587
"GIECO INSURANCE",1,12-016422
"GILBERT",1,10-022204
"GILBERT ST &  PLEASANT VALLEY AV",1,07-010990
"GILBERT ST & 41ST ST",1,11-904439
"GILBERT ST & 42ND ST",1,09-070494
"GILBERT ST & RIDGEWAY AV",8,07-100030
"GILBERT ST&JOHN ST",1,10-014784
"GILBERT ST&MATHER ST",1,07-046019
"GILBERT ST&PLEASANT VALLEY AV",6,08-031378
"GLASCOCK ST",2,14-901986
"GLASCOCK ST & 29TH AV",3,11-902030
"GLEASON WY & 14TH AV",1,09-060820
"GLEASON WY & 22ND AV",1,10-050388
"GLEN AV & ENTRADA AV",1,10-903591
"GLEN AV & PIEDMONT AV",2,09-082423
"GLEN AV&PIEDMONT AV",2,07-020061
"GLEN PARK & EXCELSIOR AVE",1,09-062022
"GLEN PARK RD",1,10-901000
"GLEN VIEW& RAND",1,09-901797
"GLENFIELD AVENUE",1,09-900893
"GLENLY RD/BLANDON RD",1,12-900969
"GLENLY ROAD/BLANDON ROAD",1,09-903958
"GLOVER & HOLLOWAY",2,13-900231
"GOLDEN GATE AV",2,14-007727
"GOLDEN GATE AV & CHABOT RD",2,12-911867
"GOLDEN GATE AV&EB S24",1,07-074201
"GOLDEN GATE BRIDGE",1,13-053202
"GOLDEN GATE FIELDS",1,11-902146
"GOLDEN GATE FIELDS 1100 EASTSHORE HWY",1,13-025226
"GOLDEN GATE WY",1,11-906983
"GOLF LINKS",1,11-020654
"GOLF LINKS RD &  MOUNTAIN BLVD",1,07-033227
"GOLF LINKS RD & 82ND AV",2,07-052867
"GOLF LINKS RD & 98TH AV",13,09-019551
"GOLF LINKS RD & CASTLEWOOD ST",1,10-062411
"GOLF LINKS RD & DUNKIRK AV",1,10-907068
"GOLF LINKS RD & EL MONTE AV",1,11-018858
"GOLF LINKS RD & MOUNTAIN BLVD",8,12-040195
"GOLF LINKS RD & SCOTIA AV",2,13-059261
"GOLF LINKS RD & WB 580",1,07-039410
"GOLF LINKS RD&EB I580",1,12-038647
"GOLF LINKS RD&GRASS VALLEY RD",1,12-057479
"GOLF LINKS RD&MOUNTAIN BLVD",2,11-006762
"GOLF LINKS RD&OAK HILL RD",1,13-021579
"GOLF LINKS RD&SCOTIA AV",4,11-018111
"GORDON ST&RENWICK ST",1,13-032165
"GOSS ST & WILLOW ST",2,12-007103
"GOSS ST&PINE ST",1,10-050694
"GOSS ST&WILLOW ST",1,07-026129
"GOSS ST&WOOD ST",3,10-045511
"GOTHAM",1,12-904224
"GOULDIN AVE",1,12-905375
"GRACE AV&LOWELL",2,13-058464
"GRAFFIAN ST & 105TH AV",2,10-016471
"GRAFFIAN ST & 106TH AV",1,09-072969
"GRAFFIAN ST & 107TH AV",3,09-061460
"GRAMERCY PL&KNIGHT ST",2,07-012198
"GRAND & 21ST",1,13-903514
"GRAND & EMBARCADERO",1,12-912053
"GRAND & LAKESHORE",1,10-901468
"GRAND & LENNOX",1,10-900920
"GRAND & WALKER",1,11-900880
"GRAND &LAKESHORE",1,12-906578
"GRAND &TELEGRAPH AV AV",2,12-009281
"GRAND A/MANDANA BLVD",1,07-021390
"GRAND AND BELLEVUE",1,09-902363
"GRAND AND LAKE PARK AVENUES",1,09-900868
"GRAND AV &  HARRISON ST",4,07-020276
"GRAND AV & BAY PL",2,11-014524
"GRAND AV & BELLEVUE AV",4,11-030622
"GRAND AV & BROADWAY",9,10-901722
"GRAND AV & EB I 580",1,12-001420
"GRAND AV & EB I580",2,12-910063
"GRAND AV & EL EMBARCADERO",1,11-009873
"GRAND AV & ELWOOD AV",3,11-028784
"GRAND AV & EUCLID AV",21,09-904609
"GRAND AV & HARRISON ST",39,11-909062
"GRAND AV & LAKE PARK AV",38,12-900296
"GRAND AV & LAKE SHORE",1,07-076090
"GRAND AV & LAKESHORE DR",1,12-904112
"GRAND AV & LEE ST",7,12-908796
"GRAND AV & LENOX AV",8,12-904478
"GRAND AV & MACARTHUR BLVD",64,12-910386
"GRAND AV & MANDANA BLVD",4,11-906160
"GRAND AV & MARKET ST",1,12-001057
"GRAND AV & NB W GRAND ONRP AV",1,11-910231
"GRAND AV & OAKLAND BLVD",1,09-904134
"GRAND AV & PARK VIEW TER",4,11-061824
"GRAND AV & PERKINS",1,13-034258
"GRAND AV & PERKINS ST",17,11-050083
"GRAND AV & SANTA CLARA AV",2,11-909167
"GRAND AV & SUNNYSLOPE AV",4,12-905771
"GRAND AV & WALKER",1,13-908373
"GRAND AV & WALKER AV",1,12-058215
"GRAND AV& LAKESHORE",1,07-010471
"GRAND AV&EB I580",1,11-031181
"GRAND AV&HARRISON ST",3,12-035199
"GRAND AV&LAKE PARK AV",13,07-032232
"GRAND AV&LEE ST",3,09-024492
"GRAND AV&LENOX AV",3,13-005663
"GRAND AV&MACARTHUR BLVD",10,13-019102
"GRAND AV&MANDANA BLVD",8,09-054540
"GRAND AV&MANDELA PKWY",1,11-051312
"GRAND AV&MARKET ST",2,12-008105
"GRAND AV&MYRTLE ST",1,11-053661
"GRAND AV&PARK VIEW TER",3,12-044141
"GRAND AV&PERKINS ST",23,13-030769
"GRAND AV&POPLAR ST",1,12-040401
"GRAND AV&STATEN AV",10,10-008165
"GRAND AV&SUNNYSLOPE AV",2,09-010258
"GRAND AV&WALKER AV",1,13-905371
"GRAND AV&WEBSTER ST",3,07-013004
"GRAND AV&WILDWOOD AV",2,09-058875
"GRAND AV/PERKINS ST",1,07-064680
"GRAND AV/SAN PABLO AV",1,07-081848
"GRAND AVE & BAY PL",1,13-003177
"GRAND AVE & STATEN AVE",1,12-036109
"GRAND AVE / LAKE SHORE",1,09-902718
"GRAND AVE AND HARRISON ST",1,12-064966
"GRAND AVE. & STATEN AVE.",1,13-004431
"GRAND AVE. (BETWEEN ELWOOD AVE. & LAKE PARK AVE.)",1,08-900164
"GRAND AVENNUE AND MCARTHUR BLVD",1,12-905875
"GRAND AVENUE AND MADERA",1,11-906637
"GRAND AVEUNK GRAND AV",1,10-902216
"GRAND LAKE",2,09-900486
"GRAND LAKE THEATRE",1,08-053567
"GRAND ST",2,11-050775
"GRAND VIEW DR&LIVE OAK RD",2,12-903386
"GRAND& LAKESHORE",1,10-045341
"GRAND/LAKESHORE",1,10-902437
"GRANDE VISTA AV & E 26TH ST",1,10-058749
"GRANT & WARD",1,11-005478
"GRASS VALLEY & SKYLINE BL",1,08-062335
"GRASS VALLEY & SKYLINE BLVD",1,09-901887
"GRASS VALLEY RD & SKYLINE B;VD",1,09-079211
"GRASS VALLEY RD & SKYLINE BLVD",4,11-054537
"GRASS VALLEY RD&SKYLINE B;VD",4,09-024515
"GRASS VALLEY RD&SKYLINE BLVD",6,13-012647
"GRAVENSTEIN ST & PEARMAIN ST",1,11-037132
"GRAY ST & 35TH AV",2,11-033614
"GREAT AMERICA",1,10-903198
"GREAT MALL",1,12-017478
"GREEN ACRE RD & MACARTHUR BLVD",1,14-005352
"GREEN VALLEY (NV) BRANCH OF US BANK",1,11-909746
"GREENBRIER ST&TURNER CT",1,08-006735
"GREENLY DR & COLUMBIAN DR",2,08-039160
"GREENLY DR & LAMP ST",1,13-042988
"GREENLY DR&KELLER AV",1,10-069232
"GREENLY DR&LAMP ST",2,09-011589
"GREENWOOD AV & HAMPEL ST",1,13-023350
"GREENWOOD AV&PARK BLVD",1,09-008034
"GREGORY ST & REINHARDT DR",1,12-061845
"GREYHOUND BUS LINES",1,08-050014
"GREYHOUND BUS STATION",1,07-095617
"GRITTON ST",1,11-905227
"GRIZZLEY PARK & CENTENNIAL",1,08-028578
"GRIZZLEY PEAK",1,10-062965
"GRIZZLEY PEAK & CENTENNIAL DR",1,09-004333
"GRIZZLEY PEAK (WEST OF SOUTH PARK RD)",1,13-021125
"GRIZZLY PEAK BL & GOLF COURSE RD",1,10-904559
"GRIZZLY PEAK BLVD",7,11-021069
"GRIZZLY PEAK BLVD & CENTENNIAL DR",10,13-909105
"GRIZZLY PEAK BLVD & CLAREMONT AV",4,07-041350
"GRIZZLY PEAK BLVD & FISH RANCH RD",6,08-069564
"GRIZZLY PEAK BLVD & GOLF COURSE DR",1,10-907278
"GRIZZLY PEAK BLVD & MARLBOROUGH TER",1,12-060778
"GRIZZLY PEAK BLVD & SKYLINE BLVD",1,13-016719
"GRIZZLY PEAK BLVD&GRIZZLY TERR",1,07-091295
"GRIZZLY PEAK BLVD&MARLBOROUGH",3,12-036172
"GRIZZLY PEAK BLVD&MARLBOROUGH TER",1,13-059552
"GRIZZLY PEAK BLVD&SKYLINE BLVD",1,09-039021
"GRIZZLY PEAK RD",1,12-903942
"GRIZZLY PEAK TOWARDS FISH RANCH",1,10-908026
"GRIZZLY PEAK/SOUTH P",1,13-907053
"GROSVENOR PL&HOLMAN RD",2,12-040444
"GROSVENOR PL&TRESTLE GLEN RD",1,08-091148
"GROVE/CENTER, OAKLAND, CA,",1,09-061285
"GUIDO ST&RETTIG AV",1,08-071856
"H &BANCROFT AV",1,10-019578
"H &HARRISON ST",1,10-010650
"H AV&INTERNATIONAL",3,11-002337
"H ST&BROADWAY",1,10-011031
"H&R BLOCK",1,12-016425
"HADDON RD & ATHOL AV",1,10-906878
"HADDON RD & PARK BLVD",1,11-910398
"HALE AV & DOUGLAS AV",1,10-033835
"HALLIDAY AV & CHURCH ST",1,08-055636
"HALLIDAY ST",1,08-085188
"HAMILTON APARTMENT",1,13-052152
"HAMILTON PL&HARRISON ST",1,12-003108
"HAMILTON ST & 69TH AV",3,08-051666
"HAMILTON ST & 70TH AV",1,09-062070
"HAMILTON ST & 71ST AV",11,10-043423
"HAMILTON ST & 72ND AV",2,08-085645
"HAMILTON ST & 73RD AV",9,09-032547
"HAMILTON ST & 75TH AV",5,08-056078
"HAMILTON ST & 76TH AV",5,13-039147
"HAMILTON ST & 77TH AV",2,11-011357
"HAMILTON ST & HEGENBERGER RD",20,08-021776
"HAMILTON ST&HEGENBERGER RD",8,07-099930
"HAMPEL ST & ELSTON AV",1,09-901790
"HAMPEL ST&PARK BLVD",1,08-066876
"HANLY RD&OAKMORE PL",1,08-008533
"HANNAH ST & 32ND ST",2,10-011396
"HANNAH ST&PERALTA ST",2,07-049673
"HANOVER AV &  LESTER AV",1,07-031115
"HANOVER AV & BROOKLYN AV",2,10-903039
"HANOVER AV & NEWTON AV",3,12-036557
"HANOVER AV & WAYNE AV",3,12-051942
"HANOVER AV&LAKESHORE AV",7,09-062071
"HANOVERLAKESHORE",1,07-046994
"HANSOM DR&KELLER AV",3,13-016510
"HAPPENED OVERSEAS",1,12-910388
"HARBOR BAY PKWY & DOOLITTLE DR",2,10-069256
