ADDR,NCID,CID[0]
"1000 BLK ALCATRAZ AVENUE",1,13-014579
"1000 BLK ARLINGTON AVE",1,13-003236
"1000 BLK CALCOT PL",1,08-023936
"1000 BLK E. 28TH ST.",1,12-044404
"1000 BLK E.18TH ST.",1,08-030255
"1000 BLK HARRISON ST",1,13-003914
"1000 BLK HENGENBERGER RD",1,12-044288
"1000 BLK HOWARD ST",1,10-030547
"1000 BLK OAK ST",1,13-056814
"1000 BLK OF 26TH ST",1,14-000627
"1000 BLK OF 2ND AVE",1,12-057830
"1000 BLK OF 34TH AVE",1,13-010064
"1000 BLK OF 51ST AVE",1,13-014348
"1000 BLK OF 72ND AVE",1,11-049804
"1000 BLK OF 82ND AV",1,12-016596
"1000 BLK OF 8TH ST",1,12-004671
"1000 BLK OF CLAY ST",1,12-017283
"1000 BLK OF CLAY ST.",1,11-060085
"1000 BLK OF DAVIS ST.",1,12-043589
"1000 BLK OF E-20TH ST",1,13-040301
"1000 BLK OF FOOTHILL BLVD",1,13-048358
"1000 BLK OF JACKSON ST",1,14-002152
"1000 BLK OF OAK ST.",1,12-036629
"1000 BLK OF SNELL ST",1,09-070540
"1000 BLK UNION ST",1,12-041417
"1000 BLK W. GRAND AVE.",1,13-053070
"1000 BLOCK 10TH AVE",1,12-045379
"1000 BLOCK 26TH ST. (ESSTBOUND)",1,12-000862
"1000 BLOCK 69TH AVE",1,11-060561
"1000 BLOCK 70TH AVE",1,11-053225
"1000 BLOCK E 18TH ST",1,12-056489
"1000 BLOCK OF 37TH AVE",1,11-038896
"1000 BLOCK OF E 17TH ST.",1,10-049411
"1000 BROOKWOOD RD",1,09-053229
"1000 BRUSH",1,09-037074
"1000 BRUSH ST",1,13-907087
"1000 CALCOT PL",13,13-063322
"1000 CAMPBELL ST",15,11-023002
"1000 CARY",1,14-006458
"1000 CASTRO ST",8,07-057595
"1000 CENTER ST",19,07-035147
"1000 CHESNUT ST",1,07-095471
"1000 CHESTER ST",4,07-025012
"1000 CHESTNUT ST",4,11-016860
"1000 CLARENDON CRES",2,07-077073
"1000 CLAY ST",25,11-903113
"1000 CLEARDON CR",1,08-045600
"1000 CONCORD AVE",1,11-904835
"1000 COTTON",1,09-904109
"1000 COTTON ST",29,14-004580
"1000 DERBY AVE",1,08-009692
"1000 E 10TH",1,11-040588
"1000 E 11TH ST",7,09-011200
"1000 E 12TH ST",15,12-005820
"1000 E 15TH ST",13,08-058031
"1000 E 17TH ST",14,08-015763
"1000 E 18TH",1,09-008081
"1000 E 19TH ST",5,07-089174
"1000 E 20TH ST",8,11-010672
"1000 E 21ST ST",4,13-001215
"1000 E 22ND ST",5,13-061221
"1000 E 23RD ST",5,14-004763
"1000 E 24TH ST",8,11-006855
"1000 E 28TH ST",6,10-061326
"1000 E 33RD ST",21,11-012106
"1000 E 8TH ST",3,10-034185
"1000 E.15TH ST",1,14-012312
"1000 E.24TH ST",1,13-065747
"1000 ELBERT ST",1,14-001068
"1000 ELMHURST ST",1,14-001490
"1000 EMBARCADERO",11,10-049545
"1000 FALLON ST",6,10-906532
"1000 FILBERT ST",4,12-050894
"1000 FOOTHILL BLVD",3,07-064719
"1000 FRUITVALE AVE",2,10-056277
"1000 HAMILTON ST",1,10-010295
"1000 HARRISON",1,10-041546
"1000 HARRISON ST",14,10-045843
"1000 HAVENSCOURT",1,09-050115
"1000 HEGENBERGER RD",3,13-011575
"1000 HIGH ST",6,09-079106
"1000 INTERNATIONAL",4,10-008560
"1000 INTERNATIONAL BLVD",29,11-012393
"1000 JACKSON",1,10-023577
"1000 JACKSON ST",11,07-007649
"1000 JACKSON ST.",1,14-012374
"1000 JEFFERSON / LAFAYETTE SQUARE",1,09-056461
"1000 JEFFERSON ST (LAFAYETTE PARK)",1,10-030855
"1000 JEFFERSON ST.",2,10-020189
"1000 KIRKHAM",1,11-005296
"1000 KIRKHAM CT",5,09-021962
"1000 KIRKHAM WY",3,12-013701
"1000 LAKESIDE",1,12-906748
"1000 LARCH ST",1,09-901693
"1000 LEO WAY",1,07-041747
"1000 LINDEN ST",11,13-012872
"1000 LONGRIDGE RD",2,10-902269
"1000 MACARTHUR BLVD",17,07-071414
"1000 MACDONALD AV",1,10-065222
"1000 MADISON",1,07-060329
"1000 MADISON ST",4,11-018021
"1000 MANDELA PARKWAY",3,07-094881
"1000 MANDELA PARKWY",1,08-069418
"1000 MARITIME ST",1,14-004173
"1000 MARKET ST",7,12-052631
"1000 MARTIN LUTHER KING JR WAY",1,13-033078
"1000 MARTIN LUTHER KING JR WY",18,12-050478
"1000 MORNING GLORY WAY",3,11-905673
"1000 MOUNTAIN BLVD",2,07-050419
"1000 OAK STREET",1,09-901582
"1000 PARK LN",1,14-001822
"1000 PEARMAIN ST",1,11-009062
"1000 PERALTA ST",20,11-003769
"1000 PINE ST",12,10-016923
"1000 POPLAR ST",9,12-019972
"1000 SAN MATEO",1,10-063585
"1000 SKYLINE B;VD",2,09-065423
"1000 STANFORD AV",8,13-064844
"1000 STANFORD AVE",1,13-063660
"1000 THUNDERHILLS RD",1,12-032997
"1000 TRESTLE GLEN RD",9,11-014609
"1000 UNDERHILLS RD",3,11-039175
"1000 VOLTAIRE",1,10-056791
"1000 W ENGINEER",1,14-901776
"1000 W GRAND",1,07-000973
"1000 W GRAND AV",18,12-128470
